sequence_index,database_id,identity_name,record_type,structure_marker,record_offset,name_offset,name_length,confidence_score
8686,685763,"Josimar",7,189,0x0061396D,0x00613971,7,100
8688,306066,"Donizete",7,189,0x006139AD,0x006139B1,8,100
8691,318665,"Ronaldinho",7,189,0x00613A1A,0x00613A1E,10,100
8693,305432,"Valdeir",7,189,0x00613A60,0x00613A64,7,100
8698,8833461,"Edmar",7,189,0x00613B05,0x00613B09,5,100
8699,736446,"Manoel",6,189,0x00613B24,0x00613B28,6,100
8700,316298,"Ernandes",6,189,0x00613B45,0x00613B49,8,100
8702,8650911,"Silas",6,189,0x00613B8B,0x00613B8F,5,100
8704,306312,"Josué",6,189,0x00613BCB,0x00613BCF,5,100
8705,3300356,"Jéfferson",6,189,0x00613BEA,0x00613BEE,9,100
8706,309556,"Claudemir",6,189,0x00613C11,0x00613C15,9,100
8707,318216,"Guará",6,189,0x00613C38,0x00613C3C,5,100
8708,304699,"Joílson",6,189,0x00613C57,0x00613C5B,7,100
8710,318385,"Russo",6,189,0x00613C99,0x00613C9D,5,100
8711,303342,"Branco",6,189,0x00613CB8,0x00613CBC,6,100
8712,307348,"Dias",6,189,0x00613CD9,0x00613CDD,4,100
8713,8832870,"Neguinho",6,189,0x00613CF6,0x00613CFA,8,100
8714,311373,"Rony",6,189,0x00613D1B,0x00613D1F,4,100
8715,3301285,"Lê",6,189,0x00613D38,0x00613D3C,2,95
8717,318326,"Barbosa",6,189,0x00613D76,0x00613D7A,7,100
8718,318596,"Carlos Roberto",6,189,0x00613D99,0x00613D9D,14,100
8720,316337,"Hélton",6,189,0x00613DF3,0x00613DF7,6,100
8721,310714,"Richard",6,189,0x00613E14,0x00613E18,7,100
8722,140615,"Amauri",6,189,0x00613E37,0x00613E3B,6,100
8725,311613,"Júlio",6,189,0x00613EA2,0x00613EA6,5,100
8727,317885,"Polaco",6,189,0x00613EE6,0x00613EEA,6,100
8732,304006,"Tarcísio",6,189,0x00613F99,0x00613F9D,8,100
8733,307158,"Missinho",6,189,0x00613FBE,0x00613FC2,8,100
8736,307123,"Helinho",6,189,0x00614025,0x00614029,7,100
8738,3300958,"Luiz Fernando",6,189,0x00614069,0x0061406D,13,100
8740,311396,"Betão",6,189,0x006140BD,0x006140C1,5,100
8746,307067,"Lopes",5,189,0x0061417D,0x00614181,5,100
8747,311590,"Francisco",5,189,0x0061419C,0x006141A0,9,100
8748,318718,"Berg",5,189,0x006141C3,0x006141C7,4,100
8753,306796,"Aranha",5,189,0x0061426E,0x00614272,6,100
8754,318669,"Jura",5,189,0x0061428F,0x00614293,4,100
8755,6900183,"Nonato",5,189,0x006142AC,0x006142B0,6,100
8756,3300566,"Nélson",5,189,0x006142CD,0x006142D1,6,100
8757,313116,"Giuliano",5,189,0x006142EE,0x006142F2,8,100
8758,305625,"Ratinho",5,189,0x00614313,0x00614317,7,100
8759,303982,"Alexsandro",5,189,0x00614336,0x0061433A,10,100
8760,316062,"Viola",5,189,0x0061435F,0x00614363,5,100
8762,317363,"Gonçalves",5,189,0x006143A1,0x006143A5,9,100
8765,305024,"Freitas",5,189,0x00614408,0x0061440C,7,100
8766,4102303,"Zé Maria",5,189,0x0061442B,0x0061442F,8,100
8767,305002,"Vladimir",5,189,0x00614450,0x00614454,8,100
8768,3300889,"Dentinho",5,189,0x00614475,0x00614479,8,100
8770,136656,"Santana",5,189,0x006144BB,0x006144BF,7,100
8771,8826335,"Wilton",5,189,0x006144DE,0x006144E2,6,100
8773,3301276,"Araújo",5,189,0x00614522,0x00614526,6,100
8774,4100491,"Capitão",5,189,0x00614543,0x00614547,7,100
8777,303602,"Nil",5,189,0x006145AA,0x006145AE,3,100
8778,306757,"Frédson",5,189,0x006145C5,0x006145C9,7,100
8779,8827363,"Sidnei",5,189,0x006145E8,0x006145EC,6,100
8780,307240,"Mimi",5,189,0x00614609,0x0061460D,4,100
8781,317162,"Lino",5,189,0x00614626,0x0061462A,4,100
8782,317400,"Aírton",5,189,0x00614643,0x00614647,6,100
8783,8106897,"Alysson",5,189,0x00614664,0x00614668,7,100
8784,320917,"Milton",5,189,0x00614687,0x0061468B,6,100
8785,318567,"Hélio",5,189,0x006146A8,0x006146AC,5,100
