reference_kind,boundary_kind,relative_offset,occurrence_count,distinct_players,flamengo_players,corinthians_players,assessment,player_names
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,29,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-30,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,34,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-35,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-41,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-44,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-45,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,50,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-55,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,72,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-90,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-121,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,2,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,3,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,8,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Baiano"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-10,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-13,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-14,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,15,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-16,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,17,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-18,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-19,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-20,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,22,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-31,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,31,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Costa"
PERSON_DATABASE_ID,ZERO_RUN_AFTER,32,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,32,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,36,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-36,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-40,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-42,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,44,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,46,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,46,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-46,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,47,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,51,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-51,1,1,0,1,ISOLATED_BOUNDARY,"Dinélson"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,52,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-57,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,57,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,57,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-57,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-59,1,1,1,0,ISOLATED_BOUNDARY,"Bruno Santos"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-59,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Baiano"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-60,1,1,0,1,ISOLATED_BOUNDARY,"Luciano Ratinho"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,61,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Costa"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,62,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
PERSON_DATABASE_ID,KNOWN_REFERENCE_BEFORE,-62,1,1,0,1,ISOLATED_BOUNDARY,"Dinélson"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-64,1,1,0,1,ISOLATED_BOUNDARY,"Fábio Costa"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,65,1,1,1,0,ISOLATED_BOUNDARY,"Júnior Baiano"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,67,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-68,1,1,0,1,ISOLATED_BOUNDARY,"Marcelo Magalhães"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,69,1,1,1,0,ISOLATED_BOUNDARY,"Reginaldo Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,75,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,76,1,1,0,1,ISOLATED_BOUNDARY,"Dinélson"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-77,1,1,1,0,ISOLATED_BOUNDARY,"Dimba"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-78,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-83,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-84,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
PERSON_DATABASE_ID,ZERO_RUN_AFTER,84,1,1,0,1,ISOLATED_BOUNDARY,"Luciano Ratinho"
PERSON_DATABASE_ID,ZERO_RUN_AFTER,85,1,1,1,0,ISOLATED_BOUNDARY,"Douglas Silva"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-85,1,1,1,0,ISOLATED_BOUNDARY,"Douglas Silva"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-87,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
