club_database_id,save1_full_name,save2_full_name,save1_short_name,save2_short_name,save1_index,save2_index,index_delta,save1_offset,save2_offset,present_save1,present_save2,database_id_stable,save_index_stable,full_name_equivalent,short_name_equivalent,status
330,"Paraná C","Paraná C","Paraná","Paraná",59,68,9,0x00093485,0x000938EB,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
332,"AA Ponte Preta","AA Ponte Preta","Ponte Preta","Ponte Preta",61,69,8,0x00093A27,0x000939CD,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
333,"A Portuguesa D","A Portuguesa D","Portuguesa","Portuguesa",62,70,8,0x00093CEA,0x00093A9D,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
335,"Santos FC","Santos FC","Santos","Santos",64,71,7,0x0009428C,0x00093B8B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
337,"São Paulo FC","São Paulo FC","São Paulo","São Paulo",66,72,6,0x00094659,0x00093C99,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
339,"CR Vasco da Gama","CR Vasco da Gama","Vasco","Vasco",68,73,5,0x00094C11,0x00093D7B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
340,"EC Vitória","EC Vitória","Vitória","Vitória",69,74,5,0x00094EDD,0x00093E37,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
344,"CSKA (Sofia)","CSKA (Sofia)","CSKA (Sofia)","CSKA (Sofia)",70,75,5,0x0009501E,0x00093F88,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
349,"Levski (Sofia)","Levski (Sofia)","Levski (Sofia)","Levski (Sofia)",71,77,6,0x00095146,0x000941BA,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
351,"Lokomotiv (Plovdiv)","Lokomotiv (Plovdiv)","Loko (Plovdiv)","Loko (Plovdiv)",72,78,6,0x0009523F,0x000942D2,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
352,"Lokomotiv (Sofia)","Lokomotiv (Sofia)","Loko (Sofia)","Loko (Sofia)",73,79,6,0x0009533A,0x000943D5,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
356,"Slavia (Sofia)","Slavia (Sofia)","Slavia (Sofia)","Slavia (Sofia)",74,81,7,0x0009542C,0x00094591,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
393,"Canon Yaoundé","Canon Yaoundé","Canon","Canon",75,82,7,0x000954D8,0x0009463D,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
398,"Tonnerre Kalara Club","Tonnerre Kalara Club","Tonnerre KC","Tonnerre KC",76,83,7,0x00095597,0x000946FC,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
399,"CSD Colo Colo","CSD Colo Colo","Colo Colo","Colo Colo",77,84,7,0x0009565B,0x000947C0,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
403,"CD Universidad Católica","CD Universidad Católica","Universidad Católica","Universidad Católica",79,85,6,0x00095811,0x000948BC,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
404,"CF Universidad de Chile","CF Universidad de Chile","Universidad de Chile","Universidad de Chile",80,86,6,0x000958FF,0x000949AA,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
406,"Beijing Guo'an","Beijing Guo'an","Beijing","Beijing",81,87,6,0x000959DE,0x00094A91,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
407,"Dalian Shide","Dalian Shide","Dalian","Dalian",82,88,6,0x00095AB7,0x00094B72,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
414,"Shanghai Shenhua","Shanghai Shenhua","Shenhua","Shenhua",84,89,5,0x00095C6A,0x00094C5D,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
417,"CD América de Cali","CD América de Cali","América de Cali","América de Cali",85,90,5,0x00095D4B,0x00094D39,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
419,"CPD Junior","CPD Junior","Junior","Junior",86,91,5,0x00095E02,0x00094DEB,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
420,"CD Once Caldas","CD Once Caldas","Once Caldas","Once Caldas",87,92,5,0x00095EDA,0x00094EAF,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
421,"AC Deportivo Cali","AC Deportivo Cali","Deportivo Cali","Deportivo Cali",88,93,5,0x00095FBB,0x00094F8B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
423,"Independiente Santa Fé","Independiente Santa Fé","Santa Fé","Santa Fé",89,94,5,0x00096096,0x00095061,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
425,"CDI Medellín","CDI Medellín","Medellín","Medellín",90,95,5,0x00096171,0x00095123,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
426,"CD Los Millonarios","CD Los Millonarios","Millonarios","Millonarios",91,96,5,0x0009624A,0x000951ED,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
427,"CDC Atlético Nacional","CDC Atlético Nacional","Atlético Nacional","Atlético Nacional",92,97,5,0x00096344,0x000952D3,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
432,"Croácia Zagreb","Croácia Zagreb","Croácia Zagreb","Croácia Zagreb",94,98,4,0x000964EC,0x000953EB,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
433,"HNK Hajduk","HNK Hajduk","Hajduk","Hajduk",95,99,4,0x000965D5,0x000954E4,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
441,"HNK Rijeka","HNK Rijeka","Rijeka","Rijeka",96,101,5,0x000966BD,0x000956D2,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
448,"AEK Larnaca","AEK Larnaca","","",97,105,8,0x0009676D,0x00095A2D,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
450,"Anorthosis Famagusta","Anorthosis Famagusta","Anorthosi","Anorthosi",98,107,9,0x0009685E,0x00095BF3,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
451,"APOEL Nicosia","APOEL Nicosia","APOEL","APOEL",99,108,9,0x00096938,0x00095CCD,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
456,"Ethnikos Achnas","Ethnikos Achnas","Achna","Achna",100,110,10,0x000969EF,0x00095E6F,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
460,"Omonoia Nicosia","Omonoia Nicosia","Omonoia","Omonoia",101,113,12,0x00096AD9,0x00096130,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
467,"Zlin","Zlin","Zlin","Zlin",102,115,13,0x00096B7F,0x000962A4,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
473,"Sigma Olomouc","Sigma Olomouc","Sigma Olomouc","Sigma Olomouc",103,117,14,0x00096C77,0x00096474,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
474,"Slavia de Praga","Slavia de Praga","Slavia de Praga","Slavia de Praga",104,118,14,0x00096DA0,0x000965BD,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
475,"Slovan Liberec","Slovan Liberec","Slovan Liberec","Slovan Liberec",105,119,14,0x00096EAD,0x000966D2,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
