club_record_index,club_id,header_offset,field1,field2,field3,full_name,short_name,name_offset,name_distance,score,confidence
103,473,0x00096C77,137,255,255,"Sigma Olomouc","Sigma Olomouc",617470,57,105,HIGH
104,474,0x00096DA0,137,255,255,"Slavia de Praga","Slavia de Praga",617718,98,105,HIGH
105,475,0x00096EAD,137,255,255,"Slovan Liberec","Slovan Liberec",618015,74,105,HIGH
106,476,0x00097006,138,255,255,"Sparta de Praga","Sparta de Praga",618284,146,105,HIGH
107,482,0x000970E6,138,255,255,"Aarhus Gymnastik Forening","AGF",618588,70,105,HIGH
108,483,0x000971EA,138,255,255,"Aalborg Boldspilklub","AaB",618843,85,105,HIGH
109,496,0x0009731C,138,255,255,"Brøndbyernes Idrætsforening","Brøndby",619103,109,105,HIGH
110,502,0x0009742E,138,255,255,"Esbjerg forenede Boldklubber","Esbjerg fB",619409,69,105,HIGH
111,505,0x0009755E,138,255,255,"Football Club Copenhaga","FC Copenhaga",619683,105,105,HIGH
112,526,0x00097678,138,255,255,"Football Club Midtjylland 1999","FC Midtjylland",619987,65,105,HIGH
113,545,0x0009778E,163,255,255,"Odense Boldklub","Odense BK",620269,101,105,HIGH
114,588,0x00097870,163,255,255,"Bohemian F.C.","Bohemians",620547,53,105,HIGH
115,590,0x00097952,163,255,255,"Cork City","Cork City",620773,61,105,HIGH
116,597,0x00097A3A,139,255,255,"Shelbourne F.C.","Shelbourne",620999,53,105,HIGH
117,602,0x00097B6B,139,255,255,"Arsenal","Arsenal",621270,109,105,HIGH
118,603,0x00097CC4,139,255,255,"Aston Villa","Aston Villa",621559,149,105,HIGH
119,609,0x00097DC5,139,255,255,"Birmingham City","Birmingham",621850,109,105,HIGH
120,612,0x00097EED,139,255,255,"Blackburn Rovers","Blackburn",622138,117,105,HIGH
121,614,0x00097FFC,139,255,255,"Bolton Wanderers","Bolton",622407,125,105,HIGH
122,624,0x000980C9,139,255,255,"Cambridge United","Cambridge",622693,38,105,HIGH
123,628,0x000981C3,139,255,255,"Charlton Athletic","Charlton",622879,102,105,HIGH
124,630,0x00098368,139,255,255,"Chelsea","Chelsea",623203,221,105,HIGH
125,642,0x0009847F,139,255,255,"Crystal Palace","Crystal Palace",623550,125,105,HIGH
126,645,0x00098561,139,255,255,"Derby County","Derby",623829,94,105,HIGH
127,650,0x00098644,139,255,255,"Everton","Everton",624055,101,105,HIGH
128,654,0x00098733,139,255,255,"Fulham","Fulham",624313,86,105,HIGH
129,667,0x00098838,139,255,255,"Ipswich Town","Ipswich",624552,94,105,HIGH
130,671,0x00098948,139,255,255,"Leeds United","Leeds",624813,109,105,HIGH
131,676,0x00098A92,139,255,255,"Liverpool","Liverpool",625101,149,105,HIGH
132,679,0x00098BB6,139,255,255,"Manchester City","Man City",625423,109,105,HIGH
133,680,0x00098D5A,139,255,255,"Manchester United","Man Utd",625753,197,105,HIGH
134,685,0x00098E6E,139,255,255,"Middlesbrough","Middlesbrough",626096,126,105,HIGH
135,686,0x00098F35,139,255,255,"Millwall","Millwall",626372,69,105,HIGH
136,688,0x000990D1,139,255,255,"Newcastle United","Newcastle",626614,221,105,HIGH
137,691,0x00099197,139,255,255,"Norwich City","Norwich",626983,62,105,HIGH
138,692,0x00099298,139,255,255,"Nottingham Forest","Nottm Forest",627181,101,105,HIGH
139,699,0x0009935F,139,255,255,"Portsmouth","Portsmouth",627438,61,105,HIGH
140,713,0x00099449,139,255,255,"Southampton","Southampton",627668,61,105,HIGH
141,728,0x0009959B,139,255,255,"Tottenham Hotspur","Tottenham",627902,157,105,HIGH
142,734,0x00099694,139,255,255,"West Bromwich Albion","West Brom",628209,93,105,HIGH
143,735,0x000997C8,139,255,255,"West Ham United","West Ham",628489,133,105,HIGH
144,737,0x00099896,139,255,255,"Wigan Athletic","Wigan",628766,70,105,HIGH
145,740,0x000999B3,140,255,255,"Wolverhampton Wanderers","Wolves",628983,118,105,HIGH
146,746,0x00099A9C,140,255,255,"FC Flora Tallinn","Flora",629288,62,105,HIGH
147,751,0x00099B71,141,255,255,"JK Narva Trans","Trans",629521,46,105,HIGH
148,803,0x00099C26,141,255,255,"Tofta Ítróttarfelag B68","",629703,43,105,HIGH
149,805,0x00099CF1,142,255,255,"Havnar Bóltfelag","HB",629915,38,105,HIGH
150,809,0x00099DD2,142,255,255,"Tampere United","Tampere Utd",630118,46,105,HIGH
151,811,0x00099EA2,142,255,255,"FC Lahti","FC Lahti",630312,78,105,HIGH
152,816,0x00099FA4,142,255,255,"Helsingin Jalkapalloklubi","HJK",630566,58,105,HIGH
153,817,0x0009A0A5,142,255,255,"FC Haka Valkeakoski","FC Haka",630824,61,105,HIGH
154,820,0x0009A196,143,255,255,"Myllykosken Pallo -47","MyPa",631066,62,105,HIGH
155,824,0x0009A29A,143,255,255,"Auxerre","Auxerre",631317,93,105,HIGH
156,826,0x0009A3D5,143,255,255,"Mónaco","Mónaco",631604,125,105,HIGH
157,828,0x0009A4E2,143,255,255,"St. Etienne","St. Etienne",631885,93,105,HIGH
