expected_club,expected_club_database_id,expected_club_save_index,display_name,person_database_id,person_database_id_offset,club_field_offset,club_save_index_value,resolved_club_database_id,resolved_club_name,is_identity_occurrence,classification,context_hex
"CR Flamengo",322,51,"André Bahia",311169,0x007F3D62,0x007F3D51,51,322,"CR Flamengo",False,PLAYER_RECORD_CONFIRMADO,00D507030400000000000000000000D1072D024BFF00000000010101614400330000000000000000D1070000E408000081BF040001901A901A480D88008800000000000E020000ABBE0000630A0100FFFFFFFF8F00B00700BD000000FFFFFFFF00000000FFFFFFFF0000006C078F000000020000
"CR Flamengo",322,51,"Andrezinho",302728,0x002F5A21,0x002F5A10,2046847232,,"",True,TABELA_DE_IDENTIDADE,000000E6C40000E55E3200000A00000041006E0064007200650020004C00750069007A0000000100BD000000E7C40000889E04000006000000560061006C006E006500690000000100BD000000E8C40000F15E32000010000000440065006E00ED006C0073006F006E00200041006E007400F400
"CR Flamengo",322,51,"Andrezinho",302728,0x00799468,0x00799457,51,322,"CR Flamengo",False,PLAYER_RECORD_CONFIRMADO,01D507030400000000000000000400D4072D020AFF00000000010101613200330000000000000400D407000054030000889E040002D606D606320054007600D0020000FFFFFFFF811000000A00A81600001027000000000000000000000000884300000000000000000000000000000000000000
"CR Flamengo",322,51,"Bruno Santos",8832815,0x0062BF73,0x0062BF62,1929408256,,"",True,TABELA_DE_IDENTIDADE,2B000029C78600000C0000004200720075006E006F002000530061006E0074006F00730000000100BD000000CA2B00002FC786000009000000430061006D0061007A007A006F006C00610000000100BD000000CB2B000045D50400000C000000460072006500640020004D0061006E006800E300
"CR Flamengo",322,51,"Bruno Santos",8832815,0x0094E44B,0x0094E43A,51,322,"CR Flamengo",False,PLAYER_RECORD_CONFIRMADO,00D50705060000000000000000F300D2072B0200FF0000000001010161180033000000000000F300D2070000F71B00002FC78600021A041A0434002A009C00C5150000FFFFFFFF290C00000A00501990011027000000000000000000410000F10A00000000000000000000000000000000000000
"CR Flamengo",322,51,"Dimba",303048,0x002F4682,0x002F4671,1862297856,,"",True,TABELA_DE_IDENTIDADE,000100BD00000075C4000008A0040000080000004500640069007400E100630069006F0000000100BD00000076C40000C89F0400000E0000004D0061007200630065006C006F002000540069006E00F40063006F0000000100BD00000077C40000275B3200000F0000004600720061006E006300
"CR Flamengo",322,51,"Dimba",303048,0x00569592,0x00569581,1694524416,,"",False,CLUB_INDEX_INVALIDO,0000560069006500690072006100200064006500200041006E006400720061006400650000000200BD00000045050100C89F04000006000000470072006500630063006F0000000200BD000000460501008EA986000010000000640061002000530069006C0076006100200046006F006E007300
"CR Flamengo",322,51,"Dimba",303048,0x00626A0B,0x006269FA,1627415040,,"",False,CLUB_INDEX_INVALIDO,0072006F0000000100BD000000BD29000054A004000005000000440069006D006200610000000100BD000000BE290000C89F0400000D0000004D006100720063006F00730020004A00610074006F006200E10000000100BD000000BF2900006C9F04000012000000420065006200650074006F00
"CR Flamengo",322,51,"Dimba",303048,0x0079B8A7,0x0079B896,78,400,"O'Higgins de Rancagua",False,PLAYER_RECORD_OUTRO_CLUBE,000104016118007502000001613D00F201000001611B002702000002621B004E0000000000000400D407000077030000C89F0400028813881352036C007C00E9020000FFFFFFFF2C0B00000A00701700001027000000000000000000000000EE0200000000000000000000000000000000000000
"CR Flamengo",322,51,"Douglas Silva",3300410,0x00623322,0x00623311,1627420160,,"",True,TABELA_DE_IDENTIDADE,00395C3200000D00000044006F00750067006C00610073002000530069006C007600610000000100BD0000006D2800003A5C3200000C0000004A006F00E3006F00200052006F0064007200690067006F0000000100BD0000006E2800003D5C3200000E00000052006F0064006F006C0066006F00
"CR Flamengo",322,51,"Douglas Silva",3300410,0x008CFFC2,0x008CFFB1,51,322,"CR Flamengo",False,PLAYER_RECORD_CONFIRMADO,00010401034B0030000000010350000C020000016124003802000001610200330000000000003901D3070000EF1400003A5C320001B90BB90BDC057A007A00030000003A04000032BF0000DD110100FFFFFFFFAE00A30700BD000000FFFFFFFF00000000FFFFFFFF0000006C07E8020000020000
"CR Flamengo",322,51,"Fabiano Eller",3300219,0x0057ACDA,0x0057ACC9,1929408256,,"",True,TABELA_DE_IDENTIDADE,1000000045006C006C0065007200200064006F0073002000530061006E0074006F00730000000100BD000000090B01007B5B3200001000000053006F006100720065007300200064006500200042006100720072006F00730000000100BD0000000A0B0100795B3200000F000000530069006C00
"CR Flamengo",322,51,"Fabiano Eller",3300219,0x00622E94,0x00622E83,1912628480,,"",False,CLUB_INDEX_INVALIDO,00785B3200000D000000460061006200690061006E006F00200045006C006C006500720000000100BD000000512800007B5B320000040000004E0061007300610000000100BD000000522800007F5B3200000C0000004D006100750072006F002000470061006C007600E3006F0000000100BD00
"CR Flamengo",322,51,"Fabiano Eller",3300219,0x008CB64B,0x008CB63A,51,322,"CR Flamengo",False,PLAYER_RECORD_CONFIRMADO,072F020AFF0000000001030161090044000000016109003A00000001612800330000000000000000D3070000AC1400007B5B320002201CF41AC4099100AA0020100000FFFFFFFF441B10000A1910270000102700FF1F0000000000004A000079F827000000000000000000000000000000000000
"CR Flamengo",322,51,"Júlio César Moraes",8825041,0x00584C77,0x00584C66,1912631040,,"",True,TABELA_DE_IDENTIDADE,6F0020006400650020004D006F00720061006500730020004A00FA006E0069006F00720000000100BD0000005C0E0100D1A88600001000000042006100720062006F0073006100200043006F007500740069006E0068006F0000000100BD0000005D0E0100D3A88600000E00000053006F007500
"CR Flamengo",322,51,"Júlio César Moraes",8825041,0x0062A289,0x0062A278,1929405696,,"",False,CLUB_INDEX_INVALIDO,4A00FA006C0069006F0020004300E90073006100720020004D006F00720061006500730000000100BD000000122B0000D1A88600000E000000440061006E0069006C006F0020005000610067006F0074007400690000000100BD000000132B0000D8D30400000C0000005000610075006C006F00
"CR Flamengo",322,51,"Júlio César Moraes",8825041,0x009308E9,0x009308D8,51,322,"CR Flamengo",False,PLAYER_RECORD_CONFIRMADO,00000000000000D10720020AFF000000000102016112003602000001610200330000000000000000D10700003E1A0000D1A88600029D0E9D0E32005900780073140000FFFFFFFFB87C00000A00A81600001027000000000000000000000000611400000000000000000000000000000000000000
"CR Flamengo",322,51,"Júnior Baiano",6900111,0x0058208C,0x0058207B,1912631040,,"",True,TABELA_DE_IDENTIDADE,720065006900720061002000520061006D006F00730020004A00FA006E0069006F00720000000100BD000000730D01008F49690000060000004700610072006F007400650000000100BD000000740D010073A40400000F0000004300720075007A006500690072006F0020004C00610064006100
"CR Flamengo",322,51,"Júnior Baiano",6900111,0x0061BF85,0x0061BF74,1862299136,,"",False,CLUB_INDEX_INVALIDO,0094496900000D0000004A00FA006E0069006F007200200042006100690061006E006F0000000100BD0000009E2500008F4969000004000000540075007400690000000100BD0000009F250000FFDA040000060000005000690063006F006C00690000000100BD000000A02500008C4969000006
"CR Flamengo",322,51,"Júnior Baiano",6900111,0x00920E5F,0x00920E4E,189,932,"Kickers Offenbach",False,PLAYER_RECORD_OUTRO_CLUBE,00000002620200370000000161030037000000016101000803000002611B00BD0000000000000400D40700004B1900008F496900026A186A180A0F7E008C00D3130000FFFFFFFFC43F0D000A00701700001027000000000000000000470000D06119000000000000000000000000000000000000
"CR Flamengo",322,51,"Reginaldo Araújo",3300780,0x002F51E8,0x002F51D7,1862296576,,"",True,TABELA_DE_IDENTIDADE,000041006E007400F4006E0069006F00200052006500670069006E0061006C0064006F0000000100BD000000B6C40000AC5D3200000D0000004A006F0072006700650020004D0061007200630065006C006F0000000100BD000000B7C40000AD5D3200000D0000004A0065007300FA0073002000
"CR Flamengo",322,51,"Reginaldo Araújo",3300780,0x00591479,0x00591468,1862298112,,"",False,CLUB_INDEX_INVALIDO,100000004D00610074006900610073002000640065002000410072006100FA006A006F0000000100BD00000078120100AC5D3200001300000043006100720072006F00630069006500720069002000640061002000530069006C007600610000000100BD00000079120100799C8000000D000000
"CR Flamengo",322,51,"Reginaldo Araújo",3300780,0x00623BFC,0x00623BEB,1862298112,,"",False,CLUB_INDEX_INVALIDO,1000000052006500670069006E0061006C0064006F002000410072006100FA006A006F0000000100BD000000A3280000AC5D320000070000004D0061006E00740065006E00610000000100BD000000A4280000B85D320000050000004900620073006F006E0000000100BD000000A5280000E7CE
"CR Flamengo",322,51,"Reginaldo Araújo",3300780,0x008D7A88,0x008D7A77,51,322,"CR Flamengo",False,PLAYER_RECORD_CONFIRMADO,000104016131000D02000001610D0042000000016139004000000001613600330000000000000000D107000064150000AC5D320002C819C819DA0574009400A8100000FFFFFFFFA7EE06000A00381C0000CE26000000000000000000490000A3230B000000000000000000000000000000000000
