display_name,database_id,internal_person_id,reference_kind,reference_offset,club_reference_kind,data_type,club_value,club_offset,relative_offset,is_identity_record_occurrence
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x008CFEDD,CLUB_SAVE_INDEX,UINT32,51,0x008CFF71,148,False
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x008CFEDD,CLUB_SAVE_INDEX,UINT16,51,0x008CFFB1,212,False
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x008CFEDD,CLUB_SAVE_INDEX,UINT32,51,0x008CFFB1,212,False
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x009AF359,CLUB_SAVE_INDEX,UINT16,51,0x009AF444,235,False
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,CLUB_DATABASE_ID,UINT16,322,0x008CB554,-247,False
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,CLUB_DATABASE_ID,UINT32,322,0x008CB554,-247,False
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,CLUB_DATABASE_ID,UINT16,322,0x008CB5A5,-166,False
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,CLUB_SAVE_INDEX,UINT16,51,0x008CB602,-73,False
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,CLUB_SAVE_INDEX,UINT32,51,0x008CB602,-73,False
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,CLUB_SAVE_INDEX,UINT16,51,0x008CB63A,-17,False
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,CLUB_SAVE_INDEX,UINT32,51,0x008CB63A,-17,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_SAVE_INDEX,UINT16,51,0x008CB4E0,-189,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_SAVE_INDEX,UINT16,51,0x008CB4E8,-181,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_DATABASE_ID,UINT16,322,0x008CB554,-73,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_DATABASE_ID,UINT32,322,0x008CB554,-73,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_DATABASE_ID,UINT16,322,0x008CB5A5,8,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_SAVE_INDEX,UINT16,51,0x008CB602,101,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_SAVE_INDEX,UINT32,51,0x008CB602,101,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_SAVE_INDEX,UINT16,51,0x008CB63A,157,False
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,CLUB_SAVE_INDEX,UINT32,51,0x008CB63A,157,False
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x009308E9,CLUB_DATABASE_ID,UINT16,322,0x009307F5,-244,False
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x009308E9,CLUB_DATABASE_ID,UINT32,322,0x009307F5,-244,False
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x009308E9,CLUB_SAVE_INDEX,UINT16,51,0x009308A8,-65,False
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x009308E9,CLUB_SAVE_INDEX,UINT32,51,0x009308A8,-65,False
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x009308E9,CLUB_SAVE_INDEX,UINT16,51,0x009308D8,-17,False
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x009308E9,CLUB_SAVE_INDEX,UINT32,51,0x009308D8,-17,False
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x0093083E,CLUB_DATABASE_ID,UINT16,322,0x009307F5,-73,False
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x0093083E,CLUB_DATABASE_ID,UINT32,322,0x009307F5,-73,False
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x0093083E,CLUB_SAVE_INDEX,UINT16,51,0x009308A8,106,False
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x0093083E,CLUB_SAVE_INDEX,UINT32,51,0x009308A8,106,False
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x0093083E,CLUB_SAVE_INDEX,UINT16,51,0x009308D8,154,False
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x0093083E,CLUB_SAVE_INDEX,UINT32,51,0x009308D8,154,False
"Júnior Baiano",6900111,68979,DATABASE_ID,0x00920E5F,CLUB_SAVE_INDEX,UINT16,51,0x00920DEE,-113,False
"Júnior Baiano",6900111,68979,DATABASE_ID,0x00920E5F,CLUB_SAVE_INDEX,UINT32,51,0x00920DEE,-113,False
"Júnior Baiano",6900111,68979,DATABASE_ID,0x00920E5F,CLUB_SAVE_INDEX,UINT16,51,0x00920F55,246,False
"Júnior Baiano",6900111,68979,DATABASE_ID,0x00920E5F,CLUB_SAVE_INDEX,UINT32,51,0x00920F55,246,False
"Júnior Baiano",6900111,68979,INTERNAL_PERSON_ID,0x00920D89,CLUB_DATABASE_ID,UINT16,322,0x00920D40,-73,False
"Júnior Baiano",6900111,68979,INTERNAL_PERSON_ID,0x00920D89,CLUB_DATABASE_ID,UINT32,322,0x00920D40,-73,False
"Júnior Baiano",6900111,68979,INTERNAL_PERSON_ID,0x00920D89,CLUB_SAVE_INDEX,UINT16,51,0x00920DEE,101,False
"Júnior Baiano",6900111,68979,INTERNAL_PERSON_ID,0x00920D89,CLUB_SAVE_INDEX,UINT32,51,0x00920DEE,101,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT16,51,0x008D7A37,-81,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT32,51,0x008D7A37,-81,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT16,51,0x008D7A77,-17,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT32,51,0x008D7A77,-17,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT16,51,0x008D7B3B,179,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT32,51,0x008D7B3B,179,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT16,51,0x008D7B75,237,False
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,CLUB_SAVE_INDEX,UINT32,51,0x008D7B75,237,False
"Reginaldo Araújo",3300780,50358,INTERNAL_PERSON_ID,0x008D79A0,CLUB_SAVE_INDEX,UINT16,51,0x008D7A37,151,False
"Reginaldo Araújo",3300780,50358,INTERNAL_PERSON_ID,0x008D79A0,CLUB_SAVE_INDEX,UINT32,51,0x008D7A37,151,False
"Reginaldo Araújo",3300780,50358,INTERNAL_PERSON_ID,0x008D79A0,CLUB_SAVE_INDEX,UINT16,51,0x008D7A77,215,False
"Reginaldo Araújo",3300780,50358,INTERNAL_PERSON_ID,0x008D79A0,CLUB_SAVE_INDEX,UINT32,51,0x008D7A77,215,False
