relative_offset,data_type,player_count,distinct_value_count,expected_id_match_count,expected_id_match_rate,assessment,values
50,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 134 | 8192 | 24832 | 28160 | 28416 | 29440 | 29696 | 58112"
50,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 134"
-51,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 13 | 82 | 206 | 218"
51,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 32 | 97 | 110 | 111 | 115 | 116 | 227"
-52,UINT32,9,8,0,0.000000,SEM_PADRAO,"110 | 189 | 3328 | 315108 | 318197 | 1124073472 | 1761628672 | 3283615744"
-52,UINT16,9,7,0,0.000000,SEM_PADRAO,"0 | 110 | 189 | 3328 | 20992 | 52964 | 56053"
-52,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 110 | 189 | 228 | 245"
52,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"3584 | 24832 | 26880 | 100663296 | 536899328 | 1627409664 | 1627411200 | 2046851584 | 3774898688"
52,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 3584 | 19712 | 21248 | 24832 | 25088 | 26880 | 28416 | 31232"
52,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-53,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 14 | 40"
53,BYTE,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 14 | 77 | 83 | 97 | 98 | 105 | 111 | 122"
-54,UINT16,9,7,0,0.000000,SEM_PADRAO,"0 | 1 | 4 | 50 | 111 | 3584 | 10347"
-54,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 4 | 50 | 107 | 111"
54,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 1536 | 8192 | 24832 | 31232 | 57600"
54,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-55,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 15 | 37 | 40 | 91 | 160"
55,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 6 | 32 | 97 | 122 | 225"
-56,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"3840 | 9628 | 10401 | 65536 | 303195 | 3300211 | 7274611 | 234881028 | 678100992"
-56,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 4 | 115 | 3840 | 9628 | 10401 | 23411 | 41051"
-56,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 4 | 91 | 115 | 156 | 161"
56,UINT32,9,7,0,0.000000,SEM_PADRAO,"48384 | 16777216 | 1627407360 | 1811967744 | 1862291968 | 1946185216 | 3170894080"
56,UINT16,9,7,0,0.000000,SEM_PADRAO,"0 | 256 | 17408 | 20992 | 28160 | 28416 | 48384"
56,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-57,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 219"
57,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 1 | 68 | 82 | 110 | 111 | 189"
-58,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 111 | 114 | 134 | 189 | 56182"
-58,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 111 | 114 | 118 | 134 | 189"
58,UINT16,9,7,0,0.000000,SEM_PADRAO,"0 | 256 | 24832 | 27648 | 28416 | 29696 | 48384"
58,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-59,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 40 | 41 | 168"
59,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 1 | 97 | 108 | 111 | 116 | 189"
-60,UINT32,9,8,0,0.000000,SEM_PADRAO,"189 | 10319 | 10684 | 7274610 | 7471205 | 8825036 | 12386305 | 3681943552"
-60,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 1 | 101 | 114 | 189 | 10319 | 10684 | 43212"
-60,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 1 | 79 | 101 | 114 | 188 | 189 | 204"
60,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"24832 | 48384 | 2232320 | 1375731712 | 1761635840 | 1845519616 | 1912628224 | 1929408256 | 2667577344"
60,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 4096 | 24832 | 25600 | 25856 | 28160 | 28416 | 48384"
60,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-61,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 34"
61,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 16 | 97 | 100 | 101 | 110 | 111 | 189"
-62,UINT16,9,4,0,0.000000,SEM_PADRAO,"0 | 1 | 100 | 8717"
-62,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 1 | 13 | 100"
62,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 34 | 20992 | 26880 | 28160 | 29184 | 29440 | 40704"
62,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 34"
-63,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 43"
63,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 82 | 105 | 110 | 114 | 115 | 159"
-64,UINT32,9,6,0,0.000000,SEM_PADRAO,"111 | 189 | 11024 | 65536 | 6553710 | 571277312"
-64,UINT16,9,5,0,0.000000,SEM_PADRAO,"0 | 110 | 111 | 189 | 11024"
-64,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 16 | 110 | 111 | 189"
64,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"24832 | 2735872 | 33554432 | 80982272 | 1728080128 | 1862298624 | 2130706472 | 3170894080 | 4278190117"
64,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 37 | 40 | 256 | 24832 | 26880 | 27648 | 45312 | 48896"
64,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 37 | 40"
-65,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
65,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 1 | 97 | 105 | 108 | 177 | 191"
-66,UINT16,9,7,0,0.000000,SEM_PADRAO,"0 | 1 | 97 | 104 | 114 | 117 | 189"
-66,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 1 | 97 | 104 | 114 | 117 | 189"
66,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 41 | 512 | 1235 | 26368 | 28416 | 32512 | 48384 | 65280"
66,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 41 | 211"
-67,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
67,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 2 | 4 | 103 | 111 | 127 | 189 | 255"
-68,UINT32,9,8,0,0.000000,SEM_PADRAO,"189 | 65536 | 6357078 | 6357110 | 6815854 | 7471205 | 7667826 | 12386310"
-68,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 6 | 86 | 101 | 110 | 114 | 118 | 189"
-68,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 6 | 86 | 101 | 110 | 114 | 118 | 189"
68,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"1242 | 12891 | 28416 | 48384 | 458752 | 77556736 | 1342185472 | 3170894080 | 3405774848"
68,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 256 | 1242 | 8192 | 12891 | 27648 | 28416 | 48384"
68,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 91 | 218"
-69,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
69,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 1 | 4 | 32 | 50 | 108 | 111 | 189"
-70,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 1 | 73 | 97 | 100 | 105 | 110 | 117"
-70,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 1 | 73 | 97 | 100 | 105 | 110 | 117"
70,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 7 | 1183 | 20480 | 48384 | 51968"
70,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 7 | 159"
-71,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
71,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 4 | 80 | 189 | 203"
-72,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"9 | 97 | 65536 | 4784128 | 6357106 | 6553705 | 6881394 | 7209071 | 7667818"
