reference_kind,data_type,relative_offset,flamengo_players,corinthians_players,distinct_players,total_hits,flamengo_names,corinthians_names,assessment
PERSON_DATABASE_ID,UINT16,123,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,123,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-127,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-127,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,134,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,134,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,141,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,142,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,142,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,146,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,146,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,147,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,147,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,148,1,0,1,1,"Douglas Silva","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,148,1,0,1,1,"Douglas Silva","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,150,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,150,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,151,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,151,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,154,1,0,1,1,"Júlio César Moraes","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,154,1,0,1,1,"Júlio César Moraes","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,157,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,157,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-159,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-159,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-160,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,162,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,162,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-175,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-175,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-181,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,187,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,187,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,188,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,188,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-189,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-195,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-196,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-199,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-199,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-204,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,211,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,211,0,1,1,1,"","Alessandro",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,212,1,0,1,1,"Douglas Silva","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,212,1,0,1,1,"Douglas Silva","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,215,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,215,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-215,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-215,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-221,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,229,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,229,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,235,1,0,1,1,"Douglas Silva","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,237,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,237,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,246,1,0,1,1,"Júnior Baiano","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,246,1,0,1,1,"Júnior Baiano","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-251,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,260,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,260,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-265,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,268,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,268,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-278,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,286,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,286,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-288,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-288,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-290,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,294,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,294,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-295,1,0,1,1,"Dimba","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-295,1,0,1,1,"Dimba","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,308,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,308,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,311,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,311,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,314,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,314,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-317,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-317,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,328,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-328,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-328,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,336,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-339,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-339,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,346,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,346,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-350,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-350,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-353,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,354,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,354,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-355,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-357,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-357,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-363,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,-390,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,-390,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,394,0,1,1,1,"","Fábio Baiano",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,403,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,403,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-410,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,410,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,410,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,423,0,1,1,1,"","Bruno Octávio",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,423,0,1,1,1,"","Bruno Octávio",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,427,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,427,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,428,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,432,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
